Nome,Telefone,Email,Endereço,Serviço,Valor,Data Serviço,Data Retorno,Status,Status Automático,Observação,Agendar,Vendedor
Creperia Lieto,,,,baratas,,2026-01-06,2026-04-06,Reagendar,🔴 Atrasado - Ligar!,,Agendar,
Cond Colibris,,,,baratas,,2026-01-08,2026-04-08,Reagendar,🔴 Atrasado - Ligar!,,Agendar,
creche Per Bambini,,,,Caixa dagua,,2026-01-08,2026-04-08,Reagendar,🔴 Atrasado - Ligar!,,Agendar,
Estacio west Shopping,,,,"Baratas, formigas e ratos",,2026-01-09,2026-04-09,Reagendar,🔴 Atrasado - Ligar!,,Agendar,
Carolina (Cosme Velho),,,,Formigas,,2026-01-12,2026-04-12,Reagendar,🔴 Atrasado - Ligar!,,Agendar,
cond Flavius,,,,baratas e ratos,,2026-01-13,2026-04-13,Reagendar,🔴 Atrasado - Ligar!,,Agendar,
cond Parque Gabinal II,,,,Formigas,,2026-01-14,2026-04-14,Reagendar,🔴 Atrasado - Ligar!,,Agendar,
Restaurante na Gen Polidoro,,,,ddt,,2026-01-15,2026-04-15,Reagendar,🔴 Atrasado - Ligar!,,Agendar,
DFX,,,,Baratas e Formigas,,2026-01-15,2026-04-15,Reagendar,🔴 Atrasado - Ligar!,,Agendar,
Petshop,,," Carvalho de Mendonça 13 loja C, Copacabana",barata e formigas,310.0,2026-03-09,2026-06-09,Reagendar,🔴 Atrasado - Ligar!,,,
Sr Rodrigo ( cascadura),21 99267-6050,,"RUA SILVA GOMES, 60 apto 306",cupim,680.0,2026-05-12,2026-08-12,Reagendar,🔴 Atrasado - Ligar!,,Agendar,
Curto Café,351925377141,,Rua da Assembleia 10,Desratização + Dedetização,630.0,2026-05-15,2026-07-15,Reagendar,🔴 Atrasado - Ligar!,Levar 2 caixas de rato + Pó de rato para os ralos + gel de barata e formiga e Tenopa para a area externa,Agendar,
Condomínio João de Aquino,,Daniele,"R. Condessa Belmonte, 211 - Engenho Novo",Desratização + Dedetização,680.0,2026-05-13,2026-07-13,Reagendar,🔴 Atrasado - Ligar!,"Dedetização contra ratos e baratas, levar caixinhas de rato caso nao tenha lá, preencher e levar tenopa. ",Agendar,
Ciclovia Zona Sul ,991367232,Ana,Av. Prado Júnior 330 Loja F,Desratização + Dedetização,490.0,2026-05-13,2026-07-13,Reagendar,🔴 Atrasado - Ligar!,"Desratização no depósito colocar 1 caixa de rato no depósito. Na loja, trabalhar com tenopa contra baratas, realizar nas caixas de gordura e na cozinha. Gel apenas na cozinha.",Agendar,
,,,,,,,,,,,Agendar,
Curto Café,351925377141,,Rua da Assembleia 10,Desratização + Dedetização,630.0,2026-05-15,2026-07-20,Agendado,🔴 Atrasado - Ligar!,,Agendar,
,,,,,,,,Concluído,,,Agendar,
,,,,,,,,Concluído,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,Concluído,,,Agendar,
,,,,,,,,Concluído,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
,,,,,,,,,,,Agendar,
